99928 159884
1 14304 86
1 23114 48
1 28192 33
1 39913 95
1 68504 55
2 11496 56
2 46308 25
2 58714 93
2 64694 7
3 45357 95
3 64139 80
3 64484 19
6 34626 45
6 59090 10
7 41068 14
7 47306 65
7 48965 5
7 50131 82
7 50820 93
7 51789 48
7 51851 100
8 31859 4
8 36392 67
8 43550 93
9 19816 31
10 1090 90
10 27002 67
10 62946 10
10 65727 4
10 73940 57
11 30091 51
11 41838 70
12 21744 76
12 21803 65
12 22629 60
12 51512 43
12 75966 70
13 49504 74
13 55016 67
13 66932 54
14 13494 10
14 33139 69
14 46703 26
14 49510 92
15 4821 95
15 7855 64
15 22553 58
15 24765 42
15 30720 40
15 37721 99
15 52060 65
17 22185 56
17 37387 34
17 48717 70
17 50642 3
19 15134 14
19 20299 93
19 27003 43
19 42557 49
19 65415 65
19 83108 48
20 14125 49
20 21375 96
20 26939 43
20 44526 3
20 62177 5
20 62845 27
20 65577 64
21 14130 14
21 25364 66
21 26403 27
21 35730 36
21 41473 53
21 45041 89
24 3663 69
24 7646 15
24 56237 30
24 62549 28
27 4665 28
27 12942 15
27 25057 56
27 50030 94
28 19762 58
28 24706 19
28 26716 76
28 32520 10
28 38774 7
28 40690 72
30 17232 77
30 72504 47
30 82445 25
30 85310 85
31 9747 87
31 21065 5
31 21824 19
31 29362 15
31 51696 57
31 68083 51
31 72941 8
31 78016 27
32 21248 62
32 42777 42
33 22388 97
33 52978 30
33 59783 63
33 64951 26
33 67473 32
33 68458 22
33 76577 65
37 34575 71
37 40959 7
37 63951 58
37 67034 84
38 13779 42
38 52314 62
39 18388 18
39 27608 27
39 39451 90
39 43618 21
44 13244 65
44 34185 72
44 36618 44
44 47732 41
44 51610 59
44 52570 91
44 59351 45
44 64421 52
47 5108 53
47 9974 4
47 9984 95
47 12666 11
47 26186 87
47 55377 67
50 16312 21
50 22373 91
52 7852 25
52 8946 38
52 10914 62
52 31428 42
52 51347 38
54 16547 84
54 25515 28
54 37237 4
54 48539 90
54 69569 69
56 50732 5
56 57608 47
57 7050 14
57 36017 92
57 42614 71
57 58391 14
57 59185 42
59 14739 54
59 41555 26
59 60846 83
59 75287 81
61 14349 45
64 7512 88
64 7740 9
64 28918 61
64 33513 58
64 34326 74
64 36777 99
64 49783 44
64 56270 76
65 15244 43
65 53621 23
65 55053 14
65 58164 14
65 77227 61
67 19821 20
67 42930 17
67 43349 3
67 51272 20
67 72307 94
69 11908 84
69 13359 30
70 16402 31
70 17413 94
70 20823 31
70 27709 44
70 29203 72
70 43227 46
70 44976 86
70 48422 80
70 62651 64
70 67497 85
70 70328 15
70 70375 60
71 31321 77
71 37139 74
71 37372 57
73 3396 95
73 12240 21
73 29940 38
73 48087 15
73 48527 33
78 9172 96
78 11506 80
78 17746 28
78 40593 67
78 45936 6
80 16807 62
80 67666 62
80 74950 84
80 82470 11
80 88152 84
81 54532 49
81 59937 49
83 51888 24
83 53196 36
83 60314 86
83 73811 80
85 2322 50
85 5951 2
85 15266 84
85 27480 89
85 54201 1
85 66703 78
85 78637 9
85 87599 32
86 15258 31
86 35382 11
86 52380 68
86 56721 33
86 82824 91
87 1297 69
87 11552 17
87 15178 10
87 34571 35
87 38539 39
87 45888 82
87 65402 71
89 41466 92
89 46559 95
89 67818 75
90 663 84
90 1342 77
90 8418 11
90 15593 84
90 44264 83
90 48875 13
90 62708 72
92 44411 41
92 45847 31
94 23147 17
94 32005 7
94 45362 13
95 17134 86
95 21055 62
95 52420 74
97 7375 82
97 12141 65
97 12766 68
97 14516 75
97 16299 22
98 337 12
98 20925 38
98 29637 15
98 32387 88
98 47665 7
98 49544 39
98 50261 75
98 62026 5
99 15909 64
99 60332 1
99 68441 51
99 81618 51
100 8879 100
100 10146 45
100 14686 26
100 19950 54
100 20413 61
100 25927 93
100 28128 12
100 33461 13
100 42853 16
100 46466 87
100 58025 21
102 6269 52
102 8645 72
102 31623 19
102 34365 13
102 63688 87
105 52298 19
105 64450 18
105 82809 45
105 82962 84
108 61355 60
109 33183 19
109 40369 65
109 44299 6
109 48689 79
109 59257 92
109 66986 49
109 77183 15
110 1099 40
110 9771 72
110 25637 95
110 29833 20
110 48422 3
110 54644 47
114 53238 21
114 55198 8
114 63344 87
114 74490 96
114 86453 4
116 51445 84
116 57600 29
116 63868 1
117 46381 93
117 48153 19
117 56531 73
117 57381 79
118 10862 47
118 47043 69
118 49521 81
118 73422 79
119 36101 14
119 61221 32
120 12305 45
120 12523 65
120 22229 37
120 24514 57
120 51705 12
120 54265 59
121 1985 48
121 3288 94
121 7196 51
121 24969 89
121 26761 76
121 34464 9
121 38758 73
121 39001 67
121 42932 3
123 31046 24
124 11463 40
124 13112 27
124 24364 99
124 40408 92
124 42205 82
124 57261 13
124 75084 19
125 3786 4
125 6096 79
125 30804 75
125 35959 89
125 45315 30
125 49801 82
125 51464 90
125 58217 5
125 60553 46
127 28928 32
128 19848 32
128 21711 65
128 33831 63
128 38316 51
128 43612 16
128 62700 66
129 10958 80
129 12860 89
129 20119 66
129 23194 51
129 35645 72
129 65488 61
130 26412 77
130 30987 27
130 31395 10
130 58188 22
131 2907 40
131 11177 22
131 15724 32
131 31258 76
131 34957 38
131 36228 1
131 49140 90
131 56729 58
131 61433 83
131 68580 22
131 95289 44
132 4382 52
132 21723 91
132 29769 81
133 19037 74
133 23217 41
133 37848 84
134 1463 77
134 14914 45
134 58210 48
134 63822 99
135 15435 83
135 44006 60
135 49026 49
135 57633 76
135 62392 47
135 63755 21
137 33458 13
137 54754 60
137 63947 40
137 69602 51
138 4206 57
138 40530 1
138 44056 19
138 49660 93
138 53775 76
140 11698 7
140 23791 49
140 42799 39
140 43672 26
141 11376 37
141 14282 39
141 60853 7
142 17070 50
142 58135 98
142 65142 81
143 13176 83
143 18896 26
143 38124 87
143 42985 55
143 58976 69
144 15856 89
144 45026 23
145 42960 5
145 50478 25
147 21977 4
147 29051 21
147 56508 81
150 30087 53
150 39462 39
150 49894 25
150 66247 31
151 3453 97
151 27490 82
151 29934 74
151 31140 53
151 38581 61
151 44801 18
152 21420 44
152 54609 25
152 79989 96
152 85270 75
153 2211 27
153 13061 98
153 31164 13
153 34609 37
153 38612 58
153 40969 42
153 44348 57
155 29596 15
155 33072 37
155 35567 14
155 51193 16
155 52143 6
155 52801 18
155 64653 54
155 69045 33
156 6329 90
156 8403 54
156 27764 73
156 48405 36
156 55715 32
156 87863 75
157 4780 83
157 36099 96
159 60962 34
159 64144 73
159 69371 92
159 74698 33
160 27475 40
160 46309 88
160 54747 8
160 55618 89
160 59999 59
161 776 32
161 1807 53
161 2106 59
161 16136 93
161 34853 33
161 36166 92
161 43115 67
161 64020 97
165 9189 53
165 14800 64
165 29902 53
165 37750 8
165 44028 82
165 55148 37
165 55774 88
165 56282 2
165 57186 82
166 13704 82
166 16996 90
166 29616 8
166 36771 96
167 31377 2
167 34560 48
167 46803 20
167 47519 79
167 49352 72
167 59957 29
167 62801 19
167 67006 54
171 64403 48
171 66899 16
173 52382 61
173 53933 93
175 6238 50
175 25611 33
175 25794 68
175 39513 54
175 45580 96
175 52476 33
175 56342 28
176 11069 69
176 15560 33
176 32803 48
176 39589 74
178 50923 22
178 66428 84
179 75346 43
179 77370 60
179 79786 87
179 82644 99
181 11889 53
181 14909 50
181 27922 78
181 34374 87
181 34742 56
181 38122 43
181 43093 17
181 51400 67
181 52805 72
181 65201 87
183 19444 72
183 35137 91
183 45092 63
183 52817 71
183 53185 82
183 84494 50
184 5483 73
184 11473 30
184 14520 79
184 27232 26
184 47593 51
184 59253 40
184 60371 58
184 63197 94
184 89954 15
185 821 53
185 3852 86
185 36352 36
185 40976 52
185 44845 78
188 59118 80
188 73348 95
189 27856 75
189 57104 57
189 61837 87
189 67273 25
190 30075 5
190 61046 94
190 73006 85
191 5421 41
192 2675 83
192 51892 31
192 68562 42
194 3893 71
194 15481 43
194 80273 78
195 28447 33
195 64830 82
197 983 25
197 7846 63
197 30155 46
197 34273 97
197 52759 72
197 52795 15
198 61232 26
199 9627 30
199 9879 44
199 25985 7
199 48206 35
199 51433 28
200 1721 21
200 3014 88
200 3113 12
200 8444 22
200 13074 3
200 21513 50
200 23096 46
200 34721 5
201 27018 59
201 47760 20
201 70571 82
202 20931 31
202 40149 19
202 40734 25
203 23005 98
203 36054 42
203 58210 71
204 3672 82
204 10558 49
204 27759 72
204 33617 55
204 39791 59
204 43302 10
204 44726 49
204 49627 47
204 59069 6
204 73207 50
205 25133 89
205 29277 46
205 33552 95
205 42221 71
205 50734 23
205 55992 39
205 57249 75
206 273 21
206 14726 5
206 16405 87
206 18577 24
206 36768 67
206 58235 36
207 35383 74
207 42723 11
207 43186 3
207 45438 50
208 8036 68
208 14100 29
208 34707 11
208 40331 72
